ID,Name,X,Y,Z,H,N
0,Wedge_A,0,0,-2.5,1,144
1,Tri_Pyramid,7.5,0,-2.5,1,144
2,Tri_Pyramid_Cut,15,0,-2.5,0.5,108
3,Cube,22.5,0,-2.5,1,144
4,Wedge_B,30,0,-2.5,1,144
5,Quad_Pyramid,37.5,0,-2.5,1,144
6,Quad_Pyramid_Cut,45,0,-2.5,0.5,108
7,Hexagon,52.5,0,-2.5,1,144
8,Hex_Pyramid,0,7.5,-2.5,1,144
9,Hex_Pyramid_cut,7.5,7.5,-2.5,0.5,108
10,Sphere,15,7.5,-2.5,1,144
11,Cylinder,22.5,7.5,-2.5,1,144
12,Cone,30,7.5,-2.5,1,144
13,Cone_Cut,37.5,7.5,-2.5,0.5,108
14,Ring,45,7.5,-2.5,1,144
15,Torus,52.5,7.5,-2.5,1,144
16,propeller0,0,15,-2.5,0.75,108
17,propeller1,7.5,15,-2.5,0.88,108
18,propeller2,15,15,-2.5,1,144
19,propeller3,22.5,15,-2.5,1,144
20,propeller4,30,15,-2.5,0.72,108
21,propeller5,37.5,15,-2.5,0.95,144
22,propeller6,45,15,-2.5,1.08,144
23,propeller7,52.5,15,-2.5,1.26,180
24,anchor0,0,22.5,-2.5,1.3,180
25,anchor1,7.5,22.5,-2.5,1.15,144
26,anchor2,15,22.5,-2.5,2.15,288
27,anchor3,22.5,22.5,-2.5,0.85,108
28,anchor4,30,22.5,-2.5,1.13,144
29,anchor5,37.5,22.5,-2.5,1.74,216
30,anchor6,45,22.5,-2.5,0.95,108
31,anchor7,52.5,22.5,-2.5,2.23,288
32,Deck_Block,0,30,-2.5,1.01,144
33,Tripode,7.5,30,-2.5,1.59,216
34,Waste_block,15,30,-2.5,1.88,252
35,Quad_Truss,22.5,30,-2.5,1.524,216
36,Oil_Barrel,30,30,-2.5,0.87,108
37,Chain,37.5,30,-2.5,1.15,144
38,Tri_Truss,45,30,-2.5,2,252
39,Curved_Truss,52.5,30,-2.5,2.29,288
